Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
20,permit,5,Ex7a,1570587109000,1570623529200,36420200
21,permit,5,Ex7a,1570623597300,1570662865800,39268500
22,permit,5,Ex7a,1570662932600,1570699548500,36615900
23,permit,5,Ex7a,1570699619200,1570733499100,33879900
24,permit,5,Ex7a,1570733574800,1570770127900,36553100
25,permit,5,Ex7a,1570770196600,1570805061000,34864400
1,permit,10,Ex7a,1570805143900,1570866654700,61510800
2,permit,10,Ex7a,1570866747700,1570928914300,62166600
3,permit,10,Ex7a,1570928989400,1570987950100,58960700
4,permit,10,Ex7a,1570988019100,1571046030500,58011400
5,permit,10,Ex7a,1571046097400,1571102321300,56223900
6,permit,10,Ex7a,1571102411300,1571163357900,60946600
7,permit,10,Ex7a,1571163450300,1571224568900,61118600
8,permit,10,Ex7a,1571224649700,1571284608400,59958700
9,permit,10,Ex7a,1571284681100,1571343076200,58395100
10,permit,10,Ex7a,1571343145000,1571400278000,57133000
11,permit,10,Ex7a,1571400394300,1571459360500,58966200
12,permit,10,Ex7a,1571459428300,1571517029600,57601300
13,permit,10,Ex7a,1571517152400,1571568781800,51629400
14,permit,10,Ex7a,1571568863800,1571621297600,52433800
15,permit,10,Ex7a,1571621370100,1571674119300,52749200
16,permit,10,Ex7a,1571674198600,1571728085200,53886600
17,permit,10,Ex7a,1571728170500,1571781054800,52884300
18,permit,10,Ex7a,1571781119300,1571831662500,50543200
19,permit,10,Ex7a,1571831733600,1571881197300,49463700
20,permit,10,Ex7a,1571881307200,1571932078900,50771700
21,permit,10,Ex7a,1571932146500,1571988599200,56452700
22,permit,10,Ex7a,1571988688600,1572041244600,52556000
23,permit,10,Ex7a,1572041347000,1572097150500,55803500
24,permit,10,Ex7a,1572097214000,1572145665800,48451800
25,permit,10,Ex7a,1572145737400,1572192989000,47251600
1,permit,20,Ex7a,1572193074600,1572287551100,94476500
2,permit,20,Ex7a,1572287620700,1572378425800,90805100
3,permit,20,Ex7a,1572378511100,1572471271100,92760000
4,permit,20,Ex7a,1572471366200,1572561765400,90399200
5,permit,20,Ex7a,1572561830600,1572672663700,110833100
6,permit,20,Ex7a,1572672726900,1572756290200,83563300
7,permit,20,Ex7a,1572756356600,1572842540100,86183500
8,permit,20,Ex7a,1572842608000,1572926764100,84156100
9,permit,20,Ex7a,1572926836800,1573013081800,86245000
10,permit,20,Ex7a,1573013159600,1573098000600,84841000
11,permit,20,Ex7a,1573098070100,1573181960500,83890400
12,permit,20,Ex7a,1573182024700,1573267658600,85633900
13,permit,20,Ex7a,1573267723000,1573350420100,82697100
14,permit,20,Ex7a,1573350526800,1573434346600,83819800
15,permit,20,Ex7a,1573434425900,1573516481300,82055400
16,permit,20,Ex7a,1573516546400,1573597244900,80698500
17,permit,20,Ex7a,1573597310000,1573681377700,84067700
18,permit,20,Ex7a,1573681442200,1573768792700,87350500
19,permit,20,Ex7a,1573768859700,1573856028400,87168700
20,permit,20,Ex7a,1573856099900,1573941843400,85743500
21,permit,20,Ex7a,1573941916900,1574034316700,92399800
22,permit,20,Ex7a,1574034393500,1574127278400,92884900
23,permit,20,Ex7a,1574127374700,1574207896500,80521800
24,permit,20,Ex7a,1574207960100,1574289047100,81087000
25,permit,20,Ex7a,1574289111400,1574383358700,94247300
1,permit,50,Ex7a,1574383437200,1574588948500,205511300
2,permit,50,Ex7a,1574589013300,1574793248700,204235400
3,permit,50,Ex7a,1574793312900,1574997078300,203765400
4,permit,50,Ex7a,1574997147100,1575226163500,229016400
5,permit,50,Ex7a,1575226233400,1575411820800,185587400
6,permit,50,Ex7a,1575411885400,1575598079200,186193800
7,permit,50,Ex7a,1575598175400,1575788867300,190691900
8,permit,50,Ex7a,1575788936200,1575978920700,189984500
9,permit,50,Ex7a,1575978995200,1576192717200,213722000
10,permit,50,Ex7a,1576192783400,1576400048800,207265400
11,permit,50,Ex7a,1576400113700,1576595433500,195319800
12,permit,50,Ex7a,1576595512400,1576811635500,216123100
13,permit,50,Ex7a,1576811704700,1577019701300,207996600
14,permit,50,Ex7a,1577019791300,1577218746300,198955000
15,permit,50,Ex7a,1577218817400,1577404046900,185229500
16,permit,50,Ex7a,1577404145500,1577610631400,206485900
17,permit,50,Ex7a,1577610698000,1577789546000,178848000
18,permit,50,Ex7a,1577789611400,1577982675700,193064300
19,permit,50,Ex7a,1577982748600,1578171747700,188999100
20,permit,50,Ex7a,1578171815300,1578365366400,193551100
21,permit,50,Ex7a,1578365431700,1578590037900,224606200
22,permit,50,Ex7a,1578590105000,1578798467800,208362800
23,permit,50,Ex7a,1578798543000,1579004182300,205639300
24,permit,50,Ex7a,1579004256600,1579214051800,209795200
25,permit,50,Ex7a,1579214152100,1579416020500,201868400
1,permit,100,Ex7a,1579416109000,1579814486300,398377300
2,permit,100,Ex7a,1579814570500,1580214416400,399845900
3,permit,100,Ex7a,1580214492000,1580565990200,351498200
4,permit,100,Ex7a,1580566078700,1580917954800,351876100
5,permit,100,Ex7a,1580918025000,1581267366800,349341800
6,permit,100,Ex7a,1581267433400,1581619675500,352242100
