Execution Number,FB Name,LoopTo,SubApp Name,Start Time (nanosec),End Time (nanosec),Execution Time (EndTime - StartTime)
20,permit,5,Ex7b,4081899098000,4082087641600,188543600
21,permit,5,Ex7b,4082087710900,4082129585500,41874600
22,permit,5,Ex7b,4082129661400,4082172626200,42964800
23,permit,5,Ex7b,4082172685600,4082217490600,44805000
24,permit,5,Ex7b,4082217550700,4082263273200,45722500
25,permit,5,Ex7b,4082263330600,4082306399200,43068600
1,permit,10,Ex7b,4082306470900,4082391108300,84637400
2,permit,10,Ex7b,4082391199700,4082468081300,76881600
3,permit,10,Ex7b,4082468146000,4082546854200,78708200
4,permit,10,Ex7b,4082546916000,4082689419300,142503300
5,permit,10,Ex7b,4082689547600,4082925510900,235963300
6,permit,10,Ex7b,4082925651900,4083016262300,90610400
7,permit,10,Ex7b,4083016425200,4083108020100,91594900
8,permit,10,Ex7b,4083108081600,4083184371500,76289900
9,permit,10,Ex7b,4083184439100,4083264638200,80199100
10,permit,10,Ex7b,4083264703000,4083345471100,80768100
11,permit,10,Ex7b,4083345570300,4083427813100,82242800
12,permit,10,Ex7b,4083427875400,4083507774500,79899100
13,permit,10,Ex7b,4083507837800,4083587801500,79963700
14,permit,10,Ex7b,4083587864800,4083668472300,80607500
15,permit,10,Ex7b,4083668535900,4083747104900,78569000
16,permit,10,Ex7b,4083747167400,4083827801500,80634100
17,permit,10,Ex7b,4083827864900,4083908367500,80502600
18,permit,10,Ex7b,4083908448200,4083993089900,84641700
19,permit,10,Ex7b,4083993181900,4084088877400,95695500
20,permit,10,Ex7b,4084088963100,4084162669400,73706300
21,permit,10,Ex7b,4084162724800,4084238330000,75605200
22,permit,10,Ex7b,4084238386000,4084310862600,72476600
23,permit,10,Ex7b,4084310918800,4084384235600,73316800
24,permit,10,Ex7b,4084384291300,4084464318900,80027600
25,permit,10,Ex7b,4084464419400,4084539202000,74782600
1,permit,20,Ex7b,4084539283700,4084681434100,142150400
2,permit,20,Ex7b,4084681496500,4084820441400,138944900
3,permit,20,Ex7b,4084820506700,4084957474500,136967800
4,permit,20,Ex7b,4084957562500,4085094060900,136498400
5,permit,20,Ex7b,4085094116600,4085234817800,140701200
6,permit,20,Ex7b,4085234874400,4085370133400,135259000
7,permit,20,Ex7b,4085370191200,4085509046700,138855500
8,permit,20,Ex7b,4085509113400,4085646951500,137838100
9,permit,20,Ex7b,4085647007600,4085784580200,137572600
10,permit,20,Ex7b,4085784637200,4085921640100,137002900
11,permit,20,Ex7b,4085921702500,4086074550000,152847500
12,permit,20,Ex7b,4086074612500,4086211527800,136915300
13,permit,20,Ex7b,4086211617300,4086485943700,274326400
14,permit,20,Ex7b,4086485999500,4086620427700,134428200
15,permit,20,Ex7b,4086620492100,4086760589900,140097800
16,permit,20,Ex7b,4086760653300,4086894951700,134298400
17,permit,20,Ex7b,4086895007700,4087027732100,132724400
18,permit,20,Ex7b,4087027793000,4087239581900,211788900
19,permit,20,Ex7b,4087239732700,4087408496100,168763400
20,permit,20,Ex7b,4087408614600,4087586870500,178255900
21,permit,20,Ex7b,4087586926600,4087716539800,129613200
22,permit,20,Ex7b,4087716628100,4087849351800,132723700
23,permit,20,Ex7b,4087849408300,4087984266700,134858400
24,permit,20,Ex7b,4087984334700,4088122207200,137872500
25,permit,20,Ex7b,4088122267600,4088259667600,137400000
1,permit,50,Ex7b,4088259744700,4088582133200,322388500
2,permit,50,Ex7b,4088582201400,4088911776200,329574800
3,permit,50,Ex7b,4088911832500,4089238661200,326828700
4,permit,50,Ex7b,4089238717200,4089699755700,461038500
5,permit,50,Ex7b,4089699811700,4090051034000,351222300
6,permit,50,Ex7b,4090051156600,4090602144100,550987500
7,permit,50,Ex7b,4090602271000,4090939409200,337138200
8,permit,50,Ex7b,4090939481000,4091258609100,319128100
9,permit,50,Ex7b,4091258684400,4091580214600,321530200
10,permit,50,Ex7b,4091580270700,4091909825700,329555000
11,permit,50,Ex7b,4091909927800,4092252184300,342256500
12,permit,50,Ex7b,4092252299700,4092578758800,326459100
13,permit,50,Ex7b,4092578829100,4092909982100,331153000
14,permit,50,Ex7b,4092910034900,4093235141700,325106800
15,permit,50,Ex7b,4093235194500,4093561242200,326047700
